Date,wind_generation_actual,wind_capacity,temperature
7/3/2018,82021,46073.25,19.934
7/4/2018,43893,46076,21.03
7/5/2018,144743,46077,20.269
7/6/2018,296642,46088,18.649
7/7/2018,294703,46089,18.474
7/8/2018,163116,46100.5,18.766
7/9/2018,290652,46106,18.406
7/10/2018,171349,46106.417,15.909
7/11/2018,120450,46111.583,16.107
7/12/2018,161337,46118,18.444
7/13/2018,138913,46118,19.785
7/14/2018,88859,46118,20.095
7/15/2018,61068,46119,20.409
7/16/2018,48543,46130,20.964
7/17/2018,134185,46130,21.821
7/18/2018,225995,46130.5,20.493
7/19/2018,118917,46136,20.627
7/20/2018,81533,46137.5,21.753
7/21/2018,77848,46154,20.862
7/22/2018,74934,46154,20.352
7/23/2018,43249,46154,21.93
7/24/2018,35798,46155.333,24.546
7/25/2018,77376,46170.667,25.729
7/26/2018,162671,46178,25.878
7/27/2018,240112,46178.5,25.576
7/28/2018,236218,46184,23.474
7/29/2018,136959,46185,22.891
7/30/2018,103104,46197,26.033
7/31/2018,136422,46208,26.46
8/1/2018,93655,46208.667,24.511
8/2/2018,80175,46216,24.56
8/3/2018,66133,46218.083,26.115
8/4/2018,118048,46242.417,25.934
8/5/2018,197024,46259.75,22.601
8/6/2018,86471,46280.5,23.736
8/7/2018,147077,46298.417,26.183
8/8/2018,286166,46316.417,24.458
8/9/2018,299829,46343.5,23.428
8/10/2018,419369,46349,18.551
8/11/2018,398533,46349,17.612
8/12/2018,132097,46349,20.133
8/13/2018,176321,46350.833,19.788
8/14/2018,299390,46371,19.204
8/15/2018,115651,46372.417,19.839
8/16/2018,159090,46390.75,21.847
8/17/2018,123020,46422.417,21.238
8/18/2018,156670,46438,20.274
8/19/2018,184448,46439.417,21.634
8/20/2018,170463,46455,21.271
8/21/2018,50278,46456.75,21.084
8/22/2018,90934,46476.417,23.109
8/23/2018,150369,46482,22.808
8/24/2018,327214,46495.75,17.918
8/25/2018,297177,46529.083,13.858
8/26/2018,225923,46564.833,14.285
8/27/2018,507705,46585,16.677
8/28/2018,93993,46585,17.83
8/29/2018,183378,46585.5,19.806
8/30/2018,331214,46594.75,16.575
8/31/2018,155550,46636,14.628
9/1/2018,98256,46636,15.024
9/2/2018,170535,46638.5,16.044
9/3/2018,167508,46668.75,18.277
9/4/2018,83124,46701.083,19.006
9/5/2018,78247,46727.5,19.627
9/6/2018,116157,46769.583,18.59
9/7/2018,218439,46809,16.107
9/8/2018,275988,46810.333,15.311
9/9/2018,155097,46829,17.408
9/10/2018,180278,46874.917,17.974
9/11/2018,434884,46896.167,19.033
9/12/2018,213161,46902.333,19.007
9/13/2018,61174,46952.083,15.878
9/14/2018,146249,46978.5,15.45
9/15/2018,233765,47021,15.037
9/16/2018,178312,47069.833,16.324
9/17/2018,128750,47127.833,18.384
9/18/2018,357165,47183.25,20.458
9/19/2018,342514,47215.167,20.553
9/20/2018,329209,47300,20.365
9/21/2018,734188,47366,17.129
9/22/2018,541044,47367.75,12.526
9/23/2018,382635,47388.75,11.991
9/24/2018,598468,47412.083,9.127
9/25/2018,188186,47460.167,8.714
9/26/2018,492550,47498.75,10.722
9/27/2018,314308,47547.417,14.563
9/28/2018,358931,47633.167,11.791
9/29/2018,207025,47683.25,9.43
9/30/2018,195832,47730,10.554
10/1/2018,342987,47730,8.635
10/2/2018,704392,47730.5,7.788
10/3/2018,591732,47736.583,10.696
10/4/2018,218138,47747.917,11.001
